Firstname;Lastname;initials;Username;Emaildomain;StreetAddress;City;ZipCode;Country;Department;Password;Telephone;Description;Company;OU;SCGroup;State
Emily Grace;Thompson;EGT;EGT;munkebjerg.dk;Munkebjergvej 130;Odense;5230;DK;IT;P@ssword1;86364726;IT;munkebjerg;OU=IT,OU=USERS,OU=MUNKEBJERG;GSAdmins;Denmark
Benjamin Isaac;Rodriguez;BIR;BIR;munkebjerg.dk;Munkebjergvej 130;Odense;5230;DK;IT;P@ssword1;86364726;IT;munkebjerg;OU=IT,OU=USERS,OU=MUNKEBJERG;GSAdmins;Denmark
Olivia Mae;Sullivan;OMS;OMS;munkebjerg.dk;Munkebjergvej 130;Odense;5230;DK;Administration;P@ssword1;86364726;Administration;munkebjerg;OU=ADMINISTRATION,OU=USERS,OU=MUNKEBJERG;GSADMINISTRATION;Denmark
Liam Alexander;Carter;LAC;LAC;munkebjerg.dk;Munkebjergvej 130;Odense;5230;DK;Administration;P@ssword1;86364726;Administration;munkebjerg;OU=ADMINISTRATION,OU=USERS,OU=MUNKEBJERG;GSADMINISTRATION;Denmark
Sophia Rose;Mitchell;SRM;SRM;munkebjerg.dk;Munkebjergvej 130;Odense;5230;DK;Administration;P@ssword1;86364726;Administration;munkebjerg;OU=ADMINISTRATION,OU=USERS,OU=MUNKEBJERG;GSADMINISTRATION;Denmark
Jackson Thomas;Williams;JTW;JTW;munkebjerg.dk;Munkebjergvej 130;Odense;5230;DK;Revisor;P@ssword1;86364726;Chef Revisor;munkebjerg;OU=REVISOR,OU=USERS,OU=MUNKEBJERG;GSREVISOR;Denmark
Ava Elizabeth;Foste;AEF;AEF;munkebjerg.dk;Munkebjergvej 130;Odense;5230;DK;Revisor;P@ssword1;86364726;Revisor;munkebjerg;OU=REVISOR,OU=USERS,OU=MUNKEBJERG;GSREVISOR;Denmark
Ethan James;Anderson;EJA;EJA;munkebjerg.dk;Munkebjergvej 130;Odense;5230;DK;Revisor;P@ssword1;86364726;Revisor;munkebjerg;OU=REVISOR,OU=USERS,OU=MUNKEBJERG;GSREVISOR;Denmark
Isabella Claire;Parker;ICP;ICP;munkebjerg.dk;Munkebjergvej 130;Odense;5230;DK;Revisor;P@ssword1;86364726;Revisor;munkebjerg;OU=REVISOR,OU=USERS,OU=MUNKEBJERG;GSREVISOR;Denmark
Noah William;Taylor;NWT;NWT;munkebjerg.dk;Munkebjergvej 130;Odense;5230;DK;Revisor;P@ssword1;86364726;Revisor;munkebjerg;OU=REVISOR,OU=USERS,OU=MUNKEBJERG;GSREVISOR;Denmark
